Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.26986999999999994770e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.23978000000000001206e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.55512707804622570695e-006	0.00000000000000000000e+000	-1.10835918359869960235e-005	0.00000000000000000000e+000	7.47562000028556212783e+002	1	1
1.26992000000000004434e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.23978000000000001206e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.55512707804622570695e-006	0.00000000000000000000e+000	-1.10835918359869960235e-005	0.00000000000000000000e+000	7.47822000028565526009e+002	1	1
1.27024000000000000909e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.19209999999999998745e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.34148557787583725976e-006	0.00000000000000000000e+000	-1.06573342267822500395e-005	0.00000000000000000000e+000	7.48080000028596259654e+002	1	1
1.26971999999999994202e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.23978000000000001206e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.55512707804622570695e-006	0.00000000000000000000e+000	-1.10835918359869960235e-005	0.00000000000000000000e+000	7.48339000028558075428e+002	1	1
1.26980999999999994543e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.28747000000000005860e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.76881338557822650803e-006	0.00000000000000000000e+000	-1.15099388448581023902e-005	0.00000000000000000000e+000	7.48600000028614886105e+002	1	1
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.23978000000000001206e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.55512707804622570695e-006	0.00000000000000000000e+000	-1.10835918359869960235e-005	0.00000000000000000000e+000	7.48860000028624199331e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.23978000000000001206e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.55512707804622570695e-006	0.00000000000000000000e+000	-1.10835918359869960235e-005	0.00000000000000000000e+000	7.49120000028633512557e+002	1	1
1.26963999999999998636e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.28747000000000005860e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.76881338557822650803e-006	0.00000000000000000000e+000	-1.15099388448581023902e-005	0.00000000000000000000e+000	7.49380000028642825782e+002	1	1
1.27037999999999996703e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.19209999999999998745e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-5.34148557787583725976e-006	0.00000000000000000000e+000	-1.06573342267822500395e-005	0.00000000000000000000e+000	7.49641000028583221138e+002	1	1
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.14441999999999996285e-005	0.00000000000000000000e+000	-8.83619999999999947704e+001	0.00000000000000000000e+000	1.05523324541226028861e-005	0.00000000000000000000e+000	-4.42922040743863421150e-006	0.00000000000000000000e+000	7.49900000028661452234e+002	1	1
